Release,FileName,sizeLoc,locTouched,numR,numFix,numAuth,locAdded,avgLocAdded,maxLocAdded,churn,maxChurn,avgChurn,age,weightedAge,Bugginess
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,42,51,2,0,2,47,47.0,47,47,47,9.4,35,0.6862745098039216,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,156,205,4,0,3,185,185.0,185,183,183,91.5,35,0.17073170731707318,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,43,49,1,0,1,49,24.5,49,49,49,24.5,35,0.7142857142857143,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,41,50,1,0,1,50,25.0,50,50,50,25.0,35,0.7,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,78,100,2,0,2,97,97.0,97,97,97,32.333332,35,0.35,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,120,138,1,0,1,138,69.0,138,138,138,69.0,35,0.2536231884057971,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,35,43,1,0,1,43,21.5,43,43,43,21.5,35,0.813953488372093,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,35,42,1,0,1,42,21.0,42,42,42,21.0,35,0.8333333333333334,false
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,50,56,1,0,1,56,28.0,56,56,56,28.0,35,0.625,false
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,47,52,2,0,2,51,51.0,51,51,51,25.5,35,0.6730769230769231,false
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,35,41,1,0,1,41,20.5,41,41,41,20.5,35,0.8536585365853658,false
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,90,111,2,0,2,104,104.0,104,104,104,13.0,35,0.3153153153153153,false
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,46,54,1,0,1,54,27.0,54,54,54,27.0,35,0.6481481481481481,false
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,141,163,2,0,2,162,162.0,162,162,162,81.0,35,0.2147239263803681,false
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5842,12250,2,1,2,6095,6095.0,6095,6067,6095,9.953192,14,0.001142857142857143,false
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,123,155,2,0,2,153,153.0,153,153,153,51.0,35,0.22580645161290322,false
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,37,43,1,0,1,43,21.5,43,43,43,21.5,35,0.813953488372093,false
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,35,42,2,0,2,41,41.0,41,41,41,20.5,35,0.8333333333333334,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,79,155,3,0,2,104,104.0,104,104,104,34.666668,35,0.22580645161290322,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,84,148,5,0,3,104,52.0,103,104,103,35.0,35,0.23648648648648649,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,70,126,4,0,3,91,91.0,91,91,91,30.333334,35,0.2777777777777778,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,87,151,3,0,2,100,100.0,100,100,100,33.333332,35,0.23178807947019867,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,37,45,1,0,1,45,22.5,45,45,45,22.5,35,0.7777777777777778,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,246,290,2,0,2,289,289.0,289,289,289,144.5,35,0.1206896551724138,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,28,35,2,0,2,31,31.0,31,31,31,7.75,35,1.0,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,94,111,1,0,1,111,55.5,111,111,111,55.5,35,0.3153153153153153,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,30,36,2,0,2,35,35.0,35,35,35,17.5,35,0.9722222222222222,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,65,81,1,0,1,81,40.5,81,81,81,40.5,35,0.43209876543209874,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,23,27,1,0,1,27,13.5,27,27,27,13.5,35,1.2962962962962963,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,23,28,1,0,1,28,14.0,28,28,28,14.0,35,1.25,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,26,30,2,0,2,29,29.0,29,29,29,14.5,35,1.1666666666666667,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,459,600,4,1,3,565,565.0,565,565,565,188.33333,35,0.058333333333333334,true
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,54,80,2,0,2,64,64.0,64,64,64,16.0,35,0.4375,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,26,30,2,0,2,29,29.0,29,29,29,14.5,35,1.1666666666666667,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,53,65,2,0,2,64,64.0,64,64,64,32.0,35,0.5384615384615384,false
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,33,40,2,0,2,37,37.0,37,37,37,9.25,35,0.875,false
