Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,63.0,376.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,63.0,376.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,87.0,352.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,58.0,381.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,58.0,381.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,57.0,382.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,186.0,253.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,186.0,253.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,229.0,210.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,154.0,285.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,154.0,285.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,154.0,285.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,96.0,343.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,96.0,343.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,106.0,333.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,88.0,351.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,88.0,351.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,100.0,339.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,172.0,267.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,172.0,267.0,0.0,0.0,0.0,0.0,0.0
